序号,图片比例,分辨率,图片尺寸,提示词,输入Token量,输出Token量,总Token量,质量参数,估算金额USD,控制台实际花费,控制台Quota,请求时长秒,请求时长,生成文件大小Bytes,生成文件大小,图片文件,修订提示词,状态,错误
37,4:3,1K,1024x768,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",120,1204,1324,自动,0.036120,0.036720,18360,63,1m 3s,1461082,1.39 MB,data/floating-city/images/037_4-3_1K_1024x768_auto.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers and sleek architectural forms rise from floating platforms, with suspended gardens draping between structures. Small transport pods glide between buildings, and people walk across transparent sky bridges. The ocean below reflects shimmering highlights from the city lights and sunset sky. Orange and violet clouds stretch across the horizon, with intricate architectural details, realistic lighting, soft atmospheric haze, and a balanced, awe-inspiring composition. Ultra-detailed, photorealistic, cinematic concept art, wide-angle perspective.",ok,
38,4:3,1K,1024x768,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,1204,1279,低,0.036120,0.036496,18248,50,50s,1449586,1.38 MB,data/floating-city/images/038_4-3_1K_1024x768_low.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
39,4:3,1K,1024x768,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,1204,1279,中,0.036120,0.036496,18248,50,50s,1463795,1.40 MB,data/floating-city/images/039_4-3_1K_1024x768_medium.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
40,4:3,1K,1024x768,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,1204,1279,高,0.036120,0.036496,18248,57,57s,1543025,1.47 MB,data/floating-city/images/040_4-3_1K_1024x768_high.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
41,4:3,2K,2048x1536,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,2223,2298,自动,0.066690,0.067066,33533,58,58s,5711571,5.45 MB,data/floating-city/images/041_4-3_2K_2048x1536_auto.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
42,4:3,2K,2048x1536,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",85,2223,2308,低,0.066690,0.067116,33558,57,57s,5401917,5.15 MB,data/floating-city/images/042_4-3_2K_2048x1536_low.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, featuring layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, ultra-detailed, photorealistic, high dynamic range",ok,
43,4:3,2K,2048x1536,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",99,2223,2322,中,0.066690,0.067186,33593,59,59s,5898471,5.63 MB,data/floating-city/images/043_4-3_2K_2048x1536_medium.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers with intricate architectural details, suspended gardens integrated throughout the structures, small transport pods moving between buildings, people walking across transparent sky bridges. Reflections shimmering on the water below. Orange and violet clouds fill the sky, with realistic lighting, atmospheric haze, and a balanced composition. Highly detailed, photorealistic, dramatic but serene futuristic metropolis, ultra-wide perspective.",ok,
44,4:3,2K,2048x1536,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",86,2223,2309,高,0.066690,0.067120,33560,57,57s,5328570,5.08 MB,data/floating-city/images/044_4-3_2K_2048x1536_high.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, dramatic but serene mood.",ok,
45,4:3,4K,3312x2480,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",84,4413,4497,自动,0.132390,0.132810,66405,70,1m 10s,12029140,11.47 MB,data/floating-city/images/045_4-3_4K_3312x2480_auto.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, dramatic yet serene",ok,
46,4:3,4K,3312x2480,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,4413,4488,低,0.132390,0.132766,66383,222,3m 42s,12141462,11.58 MB,data/floating-city/images/046_4-3_4K_3312x2480_low.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
47,4:3,4K,3312x2480,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",99,4413,4512,中,0.132390,0.132886,66443,72,1m 12s,11863846,11.31 MB,data/floating-city/images/047_4-3_4K_3312x2480_medium.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Ultra-detailed, photorealistic, high dynamic range, sweeping vista, elegant sci-fi architecture, serene mood.",ok,
48,4:3,4K,3312x2480,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,4413,4488,高,0.132390,0.132766,66383,78,1m 18s,12497169,11.92 MB,data/floating-city/images/048_4-3_4K_3312x2480_high.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
49,3:4,1K,768x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",101,1204,1305,自动,0.036120,0.036626,18313,53,53s,1602488,1.53 MB,data/floating-city/images/049_3-4_1K_768x1024_auto.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Ultra-detailed, photorealistic, expansive environment, dramatic but serene mood, sharp focus with depth, high dynamic range.",ok,
50,3:4,1K,768x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,1204,1279,低,0.036120,0.036496,18248,64,1m 4s,1572867,1.50 MB,data/floating-city/images/050_3-4_1K_768x1024_low.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
51,3:4,1K,768x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,1204,1279,中,0.036120,0.036496,18248,64,1m 4s,1637311,1.56 MB,data/floating-city/images/051_3-4_1K_768x1024_medium.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
52,3:4,1K,768x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",103,1204,1307,高,0.036120,0.036636,18318,57,57s,1643392,1.57 MB,data/floating-city/images/052_3-4_1K_768x1024_high.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Highly detailed, photorealistic, dramatic yet serene, expansive scale, subtle motion in the pods, crisp reflections, elegant futuristic design.",ok,
53,3:4,2K,1536x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",92,8892,8984,自动,0.266760,0.267220,133610,171,2m 51s,6104868,5.82 MB,data/floating-city/images/053_3-4_2K_1536x2048_auto.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Highly detailed, photorealistic, dramatic yet serene, ultra-wide establishing shot.",ok,
54,3:4,2K,1536x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",86,2223,2309,低,0.066690,0.067120,33560,68,1m 8s,5466494,5.21 MB,data/floating-city/images/054_3-4_2K_1536x2048_low.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers with intricate architectural details, suspended gardens and greenery, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below. Orange and violet clouds fill the sky, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, cinematic atmosphere.",ok,
55,3:4,2K,1536x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",98,2223,2321,中,0.066690,0.067180,33590,60,1m,5635691,5.37 MB,data/floating-city/images/055_3-4_2K_1536x2048_medium.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Highly detailed, photorealistic, dramatic yet serene, expansive horizon, clean composition, ultra-wide lens feel.",ok,
56,3:4,2K,1536x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",113,2223,2336,高,0.066690,0.067256,33628,60,1m,5275224,5.03 MB,data/floating-city/images/056_3-4_2K_1536x2048_high.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers rise from hovering platforms, with suspended gardens and terraces interwoven between buildings. Small sleek transport pods move between structures, and tiny figures of people walk across transparent sky bridges. The ocean below reflects the city lights and sunset colors with shimmering highlights. Orange and violet clouds fill the sky. Include intricate architectural details, realistic lighting, subtle atmospheric haze, and a balanced, visually harmonious composition. Ultra-realistic, high detail, cinematic composition.",ok,
57,3:4,4K,2480x3312,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",85,4413,4498,自动,0.132390,0.132816,66408,140,2m 20s,11834690,11.29 MB,data/floating-city/images/057_3-4_4K_2480x3312_auto.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, epic sci-fi environment",ok,
58,3:4,4K,2480x3312,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,4413,4488,低,0.132390,0.132766,66383,102,1m 42s,12479904,11.90 MB,data/floating-city/images/058_3-4_4K_2480x3312_low.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
59,3:4,4K,2480x3312,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,4413,4488,中,0.132390,0.132766,66383,746,12m 26s,12173505,11.61 MB,data/floating-city/images/059_3-4_4K_2480x3312_medium.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
60,3:4,4K,2480x3312,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,4413,4488,高,0.132390,0.132766,66383,298,4m 58s,12282110,11.71 MB,data/floating-city/images/060_3-4_4K_2480x3312_high.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
61,5:4,1K,1280x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",100,1510,1610,自动,0.045300,0.045800,22900,55,55s,2623308,2.50 MB,data/floating-city/images/061_5-4_1K_1280x1024_auto.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, featuring layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Ultra-detailed, photorealistic, grand scale, sweeping perspective, high dynamic range, serene and awe-inspiring.",ok,
62,5:4,1K,1280x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",84,6119,6203,低,0.183570,0.183990,91995,162,2m 42s,2376275,2.27 MB,data/floating-city/images/062_5-4_1K_1280x1024_low.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, ultra-detailed, photorealistic, epic scale",ok,
63,5:4,1K,1280x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",87,1510,1597,中,0.045300,0.045736,22868,54,54s,2698903,2.57 MB,data/floating-city/images/063_5-4_1K_1280x1024_medium.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, featuring layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, epic sci-fi concept art.",ok,
64,5:4,1K,1280x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,1510,1585,高,0.045300,0.045676,22838,104,1m 44s,2750179,2.62 MB,data/floating-city/images/064_5-4_1K_1280x1024_high.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
65,5:4,2K,2560x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,3303,3378,自动,0.099090,0.099466,49733,90,1m 30s,8216593,7.84 MB,data/floating-city/images/065_5-4_2K_2560x2048_auto.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
66,5:4,2K,2560x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",83,13385,13468,低,0.401550,0.401966,200983,173,2m 53s,8187245,7.81 MB,data/floating-city/images/066_5-4_2K_2560x2048_low.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, ultra-detailed, photorealistic concept art",ok,
67,5:4,2K,2560x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",87,3303,3390,中,0.099090,0.099526,49763,70,1m 10s,8195971,7.82 MB,data/floating-city/images/067_5-4_2K_2560x2048_medium.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers with intricate architectural details, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, shimmering reflections on the water below, orange and violet clouds in the sky, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, epic sci-fi cityscape.",ok,
68,5:4,2K,2560x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",111,13385,13496,高,0.401550,0.402106,201053,171,2m 51s,9346419,8.91 MB,data/floating-city/images/068_5-4_2K_2560x2048_high.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers rise from floating platforms, with suspended gardens and lush greenery integrated into the architecture. Small transport pods glide between buildings. People walk across transparent sky bridges connecting structures. Water below reflects the city lights and sunset colors, shimmering softly. The sky features dramatic orange and violet clouds. Include intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Ultra-detailed, photorealistic, cinematic, expansive vista.",ok,
69,5:4,4K,3216x2576,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",105,4690,4795,自动,0.140700,0.141226,70613,290,4m 50s,12068968,11.51 MB,data/floating-city/images/069_5-4_4K_3216x2576_auto.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Ultra-detailed, high realism, dramatic yet serene atmosphere, sweeping perspective, subtle lens flare, polished sci-fi concept art, 16:9.",ok,
70,5:4,4K,3216x2576,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",91,4690,4781,低,0.140700,0.141156,70578,160,2m 40s,12092320,11.53 MB,data/floating-city/images/070_5-4_4K_3216x2576_low.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Highly detailed, photorealistic, expansive scale, dramatic yet serene mood.",ok,
71,5:4,4K,3216x2576,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,4690,4765,中,0.140700,0.141076,70538,86,1m 26s,12053017,11.49 MB,data/floating-city/images/071_5-4_4K_3216x2576_medium.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
72,5:4,4K,3216x2576,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",85,4690,4775,高,0.140700,0.141126,70563,85,1m 25s,12558509,11.98 MB,data/floating-city/images/072_5-4_4K_3216x2576_high.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, dramatic yet serene mood",ok,
73,4:5,1K,1024x1280,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",89,1510,1599,自动,0.045300,0.045746,22873,59,59s,2855972,2.72 MB,data/floating-city/images/073_4-5_1K_1024x1280_auto.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, ultra-detailed, photorealistic, high dynamic range, sweeping vista.",ok,
